" Movie Title",," Gross"," Release"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)",,"$51,620","1/24"
"Pathology",,"$51,546","8/7"
"Angus, Thongs and Perfect Snogging",,"$49,753","12/18"
"Igor",,"$47,551","12/11"
"Malos hábitos (Bad Habits)",,"$47,380","7/31"
"Persepolis",,"$46,988","2/21"
"Cassandra's Dream",,"$45,083","4/3"
"Cicakman 2 :Planet Hitam",,"$44,609","12/11"
"Pee Chang Nang (The Screen)",,"$44,379","2/28"
"A Month of Hungry Ghosts",,"$43,353","8/7"
"Sookmyeong (The Fate)",,"$38,720","8/14"
"Run Fat Boy Run",,"$38,710","4/3"
"Teeth",,"$38,467","4/3"
"Long khong 2 (Art of the Devil 3)",,"$36,019","7/24"
"Charlie Bartlett",,"$35,674","3/27"
"Becoming Jane",,"$33,743","3/27"
"Choke",,"$33,704","10/30"
"Eiga: Kurosagi",,"$33,665","9/18"
"Fly Me to the Moon",,"$33,570","11/1"
"Slam (2008)",,"$31,735","3/20"
"The Deaths of Ian Stone",,"$28,218","2/21"
"Hu die fei (Linger)",,"$27,824","1/10"
"Feast of Love",,"$27,353","2/14"
"The Assassination of Jesse James by the Coward Robert Ford",,"$27,028","1/24"
"Tokyo!",,"$26,252","10/16"
"Taxidermia",,"$24,420","4/24"
"3:10 to Yuma (2007)",,"$24,170","1/17"
"Boogeyman 2",,"$23,309","1/3"
"Brideshead Revisited",,"$20,959","10/30"
"The Savages",,"$20,943","1/17"
"Gone Baby Gone",,"$20,675","1/31"
"Bang bang wo ai shen (Help Me Eros)",,"$20,601","7/10"
"Driving Lessons",,"$20,202","6/26"
"My Magic",,"$19,941","9/26"
"The Visitor",,"$19,790","12/11"
"Closing the Ring",,"$19,110","9/25"
"Virgin Territory",,"$19,048","3/27"
"Youth Without Youth",,"$19,042","9/18"
"All the Boys Love Mandy Lane",,"$18,887","9/25"
"The Flock",,"$18,737","1/17"
"Puean Ku Rak Mung Wa (Bangkok Love Story)",,"$18,727","3/6"
"Sleuth (2007)",,"$18,688","4/17"
"Boy A",,"$18,405","9/4"
"Mulim Yeodaesang (My Mighty Princess)",,"$18,390","9/18"
"P2",,"$18,282","7/24"
"Milyang (Secret Sunshine)",,"$18,197","3/13"
"Sukai kurora (The Sky Crawlers)",,"$17,546","11/27"
"Penny Dreadful (2006)",,"$17,368","1/3"
"Lady Chatterley",,"$17,242","12/18"
"Trade",,"$17,147","1/10"
"Feet Unbound",,"$16,772","4/17"
"Izgnanie (The Banishment)",,"$16,677","8/28"
"Grace Is Gone",,"$16,134","3/20"
"Talk to Me",,"$15,969","10/30"
"Nothing Like the Holidays",,"$15,754","12/25"
"Kurôzu zero (Crows: Episode 0)",,"$15,352","3/20"
"The Promotion",,"$15,321","8/28"
"Angel (2007)",,"$15,240","5/15"
"Love in the Time of Cholera",,"$15,235","1/10"
"Tropa de Elite (Elite Squad)",,"$14,864","9/25"
"Death Sentence",,"$14,170","1/24"
"La Misma luna (Under the Same Moon)",,"$13,557","7/24"
"Man jeuk (Sparrow)",,"$13,270","6/26"
"Oh Baby",,"$13,025","10/16"
"Middonaito Îguru (Midnight Eagle)",,"$12,661","4/17"
"Sharkwater",,"$12,237","1/17"
"Where in the World Is Osama Bin Laden?",,"$11,690","10/23"
"Bienvenue chez les Ch'tis",,"$11,620","10/9"
"Shine a Light",,"$10,957","6/12"
"The Secret Life of Bees",,"$10,925","12/4"
"Mama's Boy",,"$10,139","10/23"
"Bottle Shock",,"$9,570","10/9"
"Superman ieotdeon sanai (A Man Who Was Superman)",,"$9,241","10/16"
"Le Renard et l'enfant (The Fox and the Child)",,"$9,035","9/11"
"Death Defying Acts",,"$8,880","5/8"
"Dark Matter",,"$8,573","4/24"
"Brick Lane",,"$8,125","3/6"
"Hua hua xing jing (Playboy Cops)",,"$7,982","2/28"
"Strange Wilderness",,"$7,844","7/24"
"This Film Is Not Yet Rated",,"$7,631","1/24"
"Reservation Road",,"$7,563","1/3"
"Pingpong",,"$7,112","4/3"
"Szabadság, szerelem (Children of Glory)",,"$6,890","6/27"
"Things We Lost in the Fire",,"$4,668","2/21"
"Chekeraccho!! (Check It Out, Yo!)",,"$4,612","4/10"
"Live!",,"$3,609","7/10"
"Ji quan bu ning (One Foot Off the Ground)",,"$3,153","2/21"
"A Thousand Good Years of Prayers",,"$2,016","10/16"
"The Princess of Nebraska",,"$1,720","10/16"
