" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"3","2","Eat Pray Love","Sony","$3,366","-23.0%","1","$3,366","$75,030","6"
"4","3","Takers","Sony","$1,082","-36.8%","1","$1,082","$27,187","6"
"5","8","Marmaduke","n/a","$1,019","+100.2%","1","$1,019","$22,995","10"
"6","6","Wall Street: Money Never Sleeps","n/a","$875","-12.1%","1","$875","$38,592","8"
"7","5","The Other Guys","Sony","$828","-26.7%","1","$828","$40,489","9"
"8","4","Salt","Sony","$589","-50.7%","1","$589","$194,499","17"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","2","The Social Network","Sony","$5,817","+4.0%","1","$5,817","$13,910","2"
"2","1","Eat Pray Love","Sony","$4,371","-30.7%","1","$4,371","$70,093","5"
"3","3","Takers","Sony","$1,711","-40.9%","1","$1,711","$25,731","5"
"4","5","Salt","Sony","$1,194","-21.2%","1","$1,194","$193,568","16"
"5","6","The Other Guys","Sony","$1,130","-12.3%","1","$1,130","$39,383","8"
"6","4","Wall Street: Money Never Sleeps","n/a","$995","-43.9%","1","$995","$36,849","7"
"7","8","Grown Ups","Sony","$517","+27.3%","1","$517","$77,695","14"
"8","7","Marmaduke","n/a","$509","-7.3%","1","$509","$20,408","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Eat Pray Love","Sony","$6,311","-31.8%","1","$6,311","$63,417","4"
"2","N","The Social Network","Sony","$5,594","-","1","$5,594","$5,594","1"
"3","2","Takers","Sony","$2,897","-8.3%","1","$2,897","$23,216","4"
"4","3","Wall Street: Money Never Sleeps","n/a","$1,775","-3.0%","1","$1,775","$35,530","6"
"5","4","Salt","Sony","$1,515","+20.5%","1","$1,515","$191,831","15"
"6","6","The Other Guys","Sony","$1,289","+54.2%","1","$1,289","$37,911","7"
"7","5","Marmaduke","n/a","$549","-54.9%","1","$549","$19,662","8"
"8","7","Grown Ups","Sony","$406","+6.3%","1","$406","$77,075","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Eat Pray Love","Sony","$9,252","-35.4%","1","$9,252","$54,295","3"
"2","2","Takers","Sony","$3,159","-28.2%","1","$3,159","$19,277","3"
"3","3","Wall Street: Money Never Sleeps","n/a","$1,830","-37.0%","1","$1,830","$33,389","5"
"4","6","Salt","Sony","$1,257","-29.5%","1","$1,257","$189,926","14"
"5","7","Marmaduke","n/a","$1,218","+0.3%","1","$1,218","$19,065","7"
"6","4","The Other Guys","Sony","$836","-68.2%","1","$836","$36,303","6"
"7","5","Grown Ups","Sony","$382","-79.3%","1","$382","$76,470","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Eat Pray Love","Sony","$14,324","-25.2%","1","$14,324","$40,450","2"
"2","2","Takers","Sony","$4,398","-51.2%","1","$4,398","$15,043","2"
"3","4","Wall Street: Money Never Sleeps","n/a","$2,905","-25.3%","1","$2,905","$30,453","4"
"4","3","The Other Guys","Sony","$2,629","-32.6%","1","$2,629","$34,871","5"
"5","5","Grown Ups","Sony","$1,846","-13.1%","1","$1,846","$75,642","11"
"6","6","Salt","Sony","$1,783","-11.1%","1","$1,783","$188,263","13"
"7","7","Marmaduke","n/a","$1,215","+10.9%","1","$1,215","$17,688","6"
"8","8","Knight & Day","n/a","$422","-5.4%","1","$422","$103,401","16"
"9","9","Cyrus","n/a","$72","-54.7%","1","$72","$4,348","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","Eat Pray Love","Sony","$19,142","-","1","$19,142","$19,142","1"
"2","N","Takers","Sony","$9,003","-","1","$9,003","$9,003","1"
"3","2","The Other Guys","Sony","$3,902","-26.4%","1","$3,902","$31,298","4"
"4","1","Wall Street: Money Never Sleeps","n/a","$3,891","-47.3%","1","$3,891","$26,800","3"
"5","4","Grown Ups","Sony","$2,125","-13.9%","1","$2,125","$73,231","10"
"6","3","Salt","Sony","$2,005","-25.7%","1","$2,005","$185,852","12"
"7","5","Marmaduke","n/a","$1,096","-37.1%","1","$1,096","$16,338","5"
"8","6","Knight & Day","n/a","$446","-55.5%","1","$446","$102,883","15"
"9","8","Cyrus","n/a","$159","-61.6%","1","$159","$4,252","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Wall Street: Money Never Sleeps","n/a","$7,388","-28.1%","1","$7,388","$22,248","2"
"2","2","The Other Guys","Sony","$5,300","-20.6%","1","$5,300","$25,958","3"
"3","3","Salt","Sony","$2,698","-14.2%","1","$2,698","$183,130","11"
"4","4","Grown Ups","Sony","$2,467","-5.9%","1","$2,467","$70,255","9"
"5","5","Marmaduke","n/a","$1,743","+16.5%","1","$1,743","$15,136","4"
"6","6","Knight & Day","n/a","$1,003","-25.9%","1","$1,003","$102,199","14"
"7","7","The Karate Kid","Sony","$541","+4.6%","1","$541","$151,349","16"
"8","9","Cyrus","n/a","$414","-","1","$414","$4,053","4"
"9","8","Predators","n/a","$223","-47.2%","1","$223","$33,466","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","Wall Street: Money Never Sleeps","n/a","$10,273","-","1","$10,273","$13,008","1"
"2","1","The Other Guys","Sony","$6,676","-27.3%","1","$6,676","$19,310","2"
"3","2","Salt","Sony","$3,143","-34.2%","1","$3,143","$179,279","10"
"4","3","Grown Ups","Sony","$2,621","+12.0%","1","$2,621","$67,109","8"
"5","4","Marmaduke","n/a","$1,496","-22.3%","1","$1,496","$13,162","3"
"6","5","Knight & Day","n/a","$1,353","-14.2%","1","$1,353","$100,817","13"
"7","6","The Karate Kid","Sony","$517","-37.6%","1","$517","$150,672","15"
"8","7","Predators","n/a","$422","-34.6%","1","$422","$33,130","9"
"9","8","Cyrus","n/a","$414","+40.8%","1","$414","$3,480","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","The Other Guys","Sony","$9,186","-","1","$9,186","$9,186","1"
"2","1","Salt","Sony","$4,777","-60.9%","1","$4,777","$173,798","9"
"3","2","Grown Ups","Sony","$2,340","-75.8%","1","$2,340","$62,897","7"
"4","3","Marmaduke","n/a","$1,926","-68.0%","1","$1,926","$11,387","2"
"5","6","Knight & Day","n/a","$1,576","-60.6%","1","$1,576","$99,011","12"
"6","4","The Karate Kid","Sony","$828","-84.5%","1","$828","$149,614","14"
"7","5","Predators","n/a","$645","-85.6%","1","$645","$32,533","8"
"8","7","Cyrus","n/a","$294","-75.7%","1","$294","$2,955","2"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Salt","Sony","$12,228","+231.9%","1","$12,228","$161,623","8"
"2","2","Grown Ups","Sony","$9,660","+318.2%","1","$9,660","$55,759","6"
"3","N","Marmaduke","n/a","$6,024","-","1","$6,024","$8,873","1"
"4","5","The Karate Kid","Sony","$5,324","+627.3%","1","$5,324","$146,081","13"
"5","4","Predators","n/a","$4,469","+313.0%","1","$4,469","$31,618","7"
"6","3","Knight & Day","n/a","$3,997","+266.7%","1","$3,997","$96,639","11"
"7","N","Cyrus","n/a","$1,212","-","1","$1,212","$2,557","1"
"8","7","The A-Team","n/a","$995","+74.6%","1","$995","$49,676","14"
"9","6","Death at a Funeral (2010)","Sony","$764","+15.8%","1","$764","$36,648","15"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Salt","Sony","$3,684","-31.1%","1","$3,684","$147,716","7"
"2","2","Grown Ups","Sony","$2,310","-37.6%","1","$2,310","$44,769","5"
"3","5","Knight & Day","n/a","$1,090","+13.2%","1","$1,090","$89,772","10"
"4","3","Predators","n/a","$1,082","-13.2%","1","$1,082","$25,244","6"
"5","4","The Karate Kid","Sony","$732","-37.0%","1","$732","$140,224","12"
"6","6","Death at a Funeral (2010)","Sony","$660","-5.7%","1","$660","$35,637","14"
"7","7","The A-Team","n/a","$570","-3.7%","1","$570","$48,244","13"
"8","8","The Back-Up Plan","Sony","$183","-54.0%","1","$183","$51,338","18"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Salt","Sony","$5,347","-17.0%","1","$5,347","$142,316","6"
"2","2","Grown Ups","Sony","$3,700","-9.2%","1","$3,700","$41,225","4"
"3","3","Predators","n/a","$1,247","-5.4%","1","$1,247","$23,817","5"
"4","4","The Karate Kid","Sony","$1,162","-6.4%","1","$1,162","$139,222","11"
"5","5","Knight & Day","n/a","$963","-18.8%","1","$963","$88,220","9"
"6","6","Death at a Funeral (2010)","Sony","$700","+104.7%","1","$700","$34,770","13"
"7","9","The A-Team","n/a","$592","+957.1%","1","$592","$47,499","12"
"8","8","The Back-Up Plan","Sony","$398","+100.0%","1","$398","$51,012","17"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Salt","Sony","$6,440","-3.6%","1","$6,440","$134,488","5"
"2","2","Grown Ups","Sony","$4,074","-10.7%","1","$4,074","$36,135","3"
"3","3","Predators","n/a","$1,318","-23.6%","1","$1,318","$22,034","4"
"4","4","The Karate Kid","Sony","$1,241","+7.5%","1","$1,241","$137,829","10"
"5","5","Knight & Day","n/a","$1,186","+16.4%","1","$1,186","$86,692","8"
"6","7","Death at a Funeral (2010)","Sony","$342","+30.0%","1","$342","$33,974","12"
"7","8","Date Night","n/a","$215","+93.7%","1","$215","$60,058","20"
"8","9","The Back-Up Plan","Sony","$199","+93.2%","1","$199","$50,542","16"
"9","6","The A-Team","n/a","$56","-87.8%","1","$56","$46,634","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Salt","Sony","$6,682","-76.8%","1","-1","$6,682","$124,695","4"
"2","2","Grown Ups","Sony","$4,562","-77.2%","1","-","$4,562","$29,560","2"
"3","4","Predators","n/a","$1,724","-67.1%","1","-1","$1,724","$20,207","3"
"4","3","The Karate Kid","Sony","$1,154","-79.8%","1","-1","$1,154","$135,935","9"
"5","5","Knight & Day","n/a","$1,019","-75.8%","1","-","$1,019","$85,085","7"
"6","6","The A-Team","n/a","$459","-79.8%","1","-","$459","$45,809","10"
"7","7","Death at a Funeral (2010)","Sony","$263","-72.7%","1","-","$263","$33,528","11"
"8","9","Date Night","n/a","$111","-76.7%","1","-","$111","$59,788","19"
"9","8","The Back-Up Plan","Sony","$103","-84.8%","1","-","$103","$50,311","15"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Salt","Sony","$28,759","-4.2%","2","-","$14,380","$110,721","3"
"2","N","Grown Ups","Sony","$20,032","-","1","-","$20,032","$20,032","1"
"3","3","The Karate Kid","Sony","$5,721","-16.7%","2","-","$2,861","$133,460","8"
"4","2","Predators","n/a","$5,233","-37.5%","2","-","$2,617","$18,021","2"
"5","4","Knight & Day","n/a","$4,210","-23.8%","1","-1","$4,210","$83,565","6"
"6","5","The A-Team","n/a","$2,271","+1.7%","1","-","$2,271","$45,239","9"
"7","6","Death at a Funeral (2010)","Sony","$963","-20.4%","1","-","$963","$33,099","10"
"8","8","The Back-Up Plan","Sony","$676","+7.5%","1","-","$676","$50,073","14"
"9","7","Date Night","n/a","$477","-28.6%","1","-","$477","$59,565","18"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Salt","Sony","$30,013","+13.0%","2","-","$15,007","$69,345","2"
"2","N","Predators","n/a","$8,374","-","2","-","$4,187","$11,408","1"
"3","2","The Karate Kid","Sony","$6,867","-5.5%","2","+1","$3,434","$124,277","7"
"4","3","Knight & Day","n/a","$5,523","-23.5%","2","-","$2,762","$77,939","5"
"5","4","The A-Team","n/a","$2,233","-2.9%","1","-","$2,233","$42,218","8"
"6","5","Death at a Funeral (2010)","Sony","$1,210","+8.3%","1","-","$1,210","$31,404","9"
"7","7","Date Night","n/a","$668","+42.4%","1","-","$668","$58,936","17"
"8","6","The Back-Up Plan","Sony","$629","+11.3%","1","-","$629","$49,054","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Salt","Sony","$26,562","-","2","-","$13,281","$26,562","1"
"2","2","The Karate Kid","Sony","$7,265","-38.2%","1","-1","$7,265","$114,855","6"
"3","1","Knight & Day","n/a","$7,218","-39.2%","2","+1","$3,609","$69,719","4"
"4","3","The A-Team","n/a","$2,300","-23.1%","1","-","$2,300","$38,851","7"
"5","5","Death at a Funeral (2010)","Sony","$1,117","+12.3%","1","-","$1,117","$29,412","8"
"6","4","The Back-Up Plan","Sony","$565","-46.2%","1","-","$565","$47,908","12"
"7","6","Date Night","n/a","$469","+9.1%","1","-","$469","$57,830","16"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Knight & Day","n/a","$11,873","-27.4%","1","-1","$11,873","$59,692","3"
"2","2","The Karate Kid","Sony","$11,761","-8.4%","2","-","$5,881","$103,325","5"
"3","3","The A-Team","n/a","$2,992","-23.7%","1","-","$2,992","$35,310","6"
"4","5","The Back-Up Plan","Sony","$1,050","-8.0%","1","-","$1,050","$46,911","11"
"5","4","Death at a Funeral (2010)","Sony","$995","-20.3%","1","-","$995","$27,698","7"
"6","7","Date Night","n/a","$430","-41.3%","1","-","$430","$57,098","15"
"7","8","Alvin and the Chipmunks: The Squeakquel","n/a","$271","-47.6%","1","-","$271","$131,602","29"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Knight & Day","n/a","$16,353","-1.0%","2","$8,177","$44,302","2"
"2","2","The Karate Kid","Sony","$12,836","-20.1%","2","$6,418","$86,455","4"
"3","3","The A-Team","n/a","$3,923","+11.8%","1","$3,923","$30,496","5"
"4","5","Death at a Funeral (2010)","Sony","$1,249","+18.1%","1","$1,249","$25,932","6"
"5","4","The Back-Up Plan","Sony","$1,141","-27.0%","1","$1,141","$45,232","10"
"6","7","Avatar","Fox","$1,098","+119.2%","1","$1,098","$896,623","30"
"7","6","Date Night","n/a","$732","+41.6%","1","$732","$56,509","14"
"8","8","Alvin and the Chipmunks: The Squeakquel","n/a","$517","+24.9%","1","$517","$131,093","28"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Knight & Day","n/a","$16,523","-","2","-","$8,262","$21,820","1"
"2","1","The Karate Kid","Sony","$16,058","-25.5%","2","+1","$8,029","$68,280","3"
"3","2","The A-Team","n/a","$3,509","-26.5%","1","-","$3,509","$25,061","4"
"4","4","The Back-Up Plan","Sony","$1,562","+12.1%","1","-","$1,562","$43,725","9"
"5","3","Death at a Funeral (2010)","Sony","$1,058","-67.6%","1","-","$1,058","$24,245","5"
"6","5","Date Night","n/a","$517","-61.6%","1","-","$517","$55,491","13"
"7","6","Avatar","Fox","$501","-4.6%","1","-","$501","$894,968","29"
"8","7","Alvin and the Chipmunks: The Squeakquel","n/a","$414","-19.9%","1","-","$414","$130,210","27"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Karate Kid","Sony","$21,552","+31.7%","1","-1","$21,552","$44,757","2"
"2","2","The A-Team","n/a","$4,775","+27.4%","1","-","$4,775","$20,573","3"
"3","3","Death at a Funeral (2010)","Sony","$3,263","+11.7%","1","-","$3,263","$21,531","4"
"4","4","The Back-Up Plan","Sony","$1,393","-3.1%","1","-","$1,393","$41,569","8"
"5","5","Date Night","n/a","$1,345","-1.8%","1","-","$1,345","$54,673","12"
"6","6","Avatar","Fox","$525","-","1","-","$525","$894,371","28"
"7","7","Alvin and the Chipmunks: The Squeakquel","n/a","$517","+8.4%","1","-","$517","$129,648","26"
"8","8","The Bounty Hunter","Sony","$414","+8.4%","1","-","$414","$55,932","14"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","The Karate Kid","Sony","$16,364","-","2","$8,182","$16,364","1"
"2","1","The A-Team","n/a","$3,748","-41.8%","1","$3,748","$14,112","2"
"3","2","Death at a Funeral (2010)","Sony","$2,921","-23.4%","1","$2,921","$16,597","3"
"4","3","The Back-Up Plan","Sony","$1,438","+0.4%","1","$1,438","$39,415","7"
"5","4","Date Night","n/a","$1,369","+10.8%","1","$1,369","$52,460","11"
"6","5","Avatar","Fox","$525","-14.4%","1","$525","$893,567","27"
"7","8","Alvin and the Chipmunks: The Squeakquel","n/a","$477","+3.3%","1","$477","$128,757","25"
"8","7","The Bounty Hunter","Sony","$382","-27.2%","1","$382","$55,367","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","The A-Team","n/a","$6,438","-","1","$6,438","$8,756","1"
"2","1","Death at a Funeral (2010)","Sony","$3,812","-41.3%","1","$3,812","$12,411","2"
"3","2","The Back-Up Plan","Sony","$1,432","-31.7%","1","$1,432","$37,364","6"
"4","3","Date Night","n/a","$1,236","-9.2%","1","$1,236","$50,718","10"
"5","4","Avatar","Fox","$613","-27.4%","1","$613","$892,684","26"
"6","8","Tooth Fairy","n/a","$597","+15.5%","1","$597","$30,693","11"
"7","6","The Bounty Hunter","Sony","$525","-32.3%","1","$525","$54,842","12"
"8","5","Alvin and the Chipmunks: The Squeakquel","n/a","$462","-43.7%","1","$462","$128,136","24"
"9","9","Percy Jackson & The Olympians: The Lightning Thief","n/a","$294","-19.7%","1","$294","$45,152","16"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Death at a Funeral (2010)","Sony","$6,491","-","1","-","$6,491","$6,491","1"
"2","1","The Back-Up Plan","Sony","$2,096","-45.3%","1","-","$2,096","$35,091","5"
"3","2","Date Night","n/a","$1,361","-38.3%","1","-","$1,361","$49,062","9"
"4","3","Avatar","Fox","$844","-53.1%","1","-1","$844","$891,809","25"
"5","7","Alvin and the Chipmunks: The Squeakquel","n/a","$820","+13.3%","1","-","$820","$127,587","23"
"6","4","The Bounty Hunter","Sony","$775","-41.7%","1","-","$775","$53,982","11"
"7","8","My Name is Khan","n/a","$621","+14.8%","1","-","$621","$459,593","16"
"8","6","Tooth Fairy","n/a","$517","-35.1%","1","-","$517","$29,937","10"
"9","5","Percy Jackson & The Olympians: The Lightning Thief","n/a","$366","-61.0%","1","-","$366","$44,747","15"
"10","9","A Prophet (Un prophète)","n/a","$231","-9.4%","1","-","$231","$3,796","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","The Back-Up Plan","Sony","$3,830","-15.1%","1","$3,830","$31,433","4"
"2","2","Date Night","n/a","$2,204","-19.0%","1","$2,204","$47,137","8"
"3","3","Avatar","Fox","$1,798","-24.0%","2","$899","$890,536","24"
"4","4","The Bounty Hunter","Sony","$1,329","-17.0%","1","$1,329","$52,661","10"
"5","7","Percy Jackson & The Olympians: The Lightning Thief","n/a","$939","+45.6%","1","$939","$44,253","14"
"6","6","Tooth Fairy","n/a","$796","-9.0%","1","$796","$29,316","9"
"7","5","Alvin and the Chipmunks: The Squeakquel","n/a","$724","-34.5%","1","$724","$126,640","22"
"8","8","My Name is Khan","n/a","$541","-15.1%","1","$541","$458,797","15"
"9","9","A Prophet (Un prophète)","n/a","$255","+23.2%","1","$255","$3,454","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","The Back-Up Plan","Sony","$4,509","-42.6%","1","$4,509","$25,603","3"
"2","3","Date Night","n/a","$2,722","+2.4%","1","$2,722","$43,977","7"
"3","2","Avatar","Fox","$2,366","-21.3%","2","$1,183","$888,138","23"
"4","4","The Bounty Hunter","Sony","$1,602","+20.1%","1","$1,602","$50,791","9"
"5","6","Alvin and the Chipmunks: The Squeakquel","n/a","$1,106","+34.9%","1","$1,106","$125,653","21"
"6","7","Tooth Fairy","n/a","$875","+31.0%","1","$875","$28,369","8"
"7","8","Percy Jackson & The Olympians: The Lightning Thief","n/a","$645","+6.6%","1","$645","$43,131","13"
"8","5","My Name is Khan","n/a","$637","-46.7%","1","$637","$458,017","14"
"9","10","A Prophet (Un prophète)","n/a","$207","-","1","$207","$3,167","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Back-Up Plan","Sony","$7,849","-3.8%","1","-","$7,849","$18,698","2"
"2","3","Avatar","Fox","$3,005","+10.4%","2","+1","$1,503","$884,819","22"
"3","2","Date Night","n/a","$2,658","-21.4%","1","-","$2,658","$40,436","6"
"4","4","The Bounty Hunter","Sony","$1,334","-25.2%","1","-","$1,334","$48,674","8"
"5","5","My Name is Khan","n/a","$1,194","+0.7%","1","-","$1,194","$457,134","13"
"6","8","Alvin and the Chipmunks: The Squeakquel","n/a","$820","+41.1%","1","-","$820","$124,332","20"
"7","7","Tooth Fairy","n/a","$668","-20.9%","1","-","$668","$27,263","7"
"8","6","Percy Jackson & The Olympians: The Lightning Thief","n/a","$605","-33.9%","1","-","$605","$42,351","12"
"9","11","Armored","Sony","$247","+243.1%","1","-","$247","$23,237","18"
"10","9","A Prophet (Un prophète)","n/a","$207","-50.0%","1","-","$207","$2,809","4"
"11","10","2012","Sony","$143","+28.8%","1","-","$143","$471,318","27"
"12","-","Did You Hear About the Morgans?","Sony","$88","-","1","-","$88","$24,645","16"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Back-Up Plan","Sony","$8,162","-","1","-","$8,162","$8,162","1"
"2","1","Date Night","n/a","$3,382","-34.8%","1","-","$3,382","$36,449","5"
"3","2","Avatar","Fox","$2,722","-41.0%","1","-1","$2,722","$881,074","21"
"4","3","The Bounty Hunter","Sony","$1,783","-46.6%","1","-","$1,783","$46,624","7"
"5","5","My Name is Khan","n/a","$1,186","-34.6%","1","-","$1,186","$455,535","12"
"6","7","Percy Jackson & The Olympians: The Lightning Thief","n/a","$915","-38.8%","1","-","$915","$41,548","11"
