" Movie Title",," Gross"," Release"
"Mr. Brooks",,"$31,078","8/16"
"Rocky Balboa",,"$30,912","2/22"
"Molière (2007)",,"$30,532","9/6"
"Knocked Up",,"$30,267","10/18"
"The Last Legion",,"$29,235","12/27"
"Feast of Love",,"$28,257","11/15"
"Matab sena'y",,"$28,143","10/11"
"Halloween (2007)",,"$27,621","12/13"
"Bridge to Terabithia",,"$25,181","3/29"
"The Number 23",,"$24,896","8/2"
"Volver",,"$24,661","5/3"
"Underdog",,"$24,129","10/11"
"Resident Evil: Extinction",,"$24,122","11/8"
"Blood and Chocolate",,"$23,932","4/26"
"Lions for Lambs",,"$22,940","12/6"
"Evening",,"$22,561","10/25"
"Material Girls",,"$22,181","7/5"
"3:10 to Yuma (2007)",,"$21,718","11/1"
"Surf's Up",,"$21,575","8/9"
"The Messengers",,"$21,480","7/12"
"The Illusionist",,"$21,324","2/15"
"Accepted",,"$21,108","1/4"
"Funny Money",,"$20,732","3/29"
"The Reaping",,"$20,619","5/10"
"Grindhouse: Death Proof",,"$20,132","7/19"
"Dead Silence",,"$19,640","9/6"
"Alpha Dog",,"$18,865","4/5"
"Hairspray (2007)",,"$18,763","9/27"
"Love and Other Disasters",,"$18,596","8/30"
"Daddy Day Camp",,"$18,428","11/8"
"Smokin' Aces",,"$18,000","3/22"
"Captivity",,"$17,287","10/4"
"The Return",,"$17,259","3/8"
"Tous à l'Ouest: Une nouvelle aventure de Lucky Luke",,"$17,017","12/27"
"The Condemned",,"$16,829","10/18"
"Notes on a Scandal",,"$16,821","3/22"
"The Black Dahlia",,"$16,723","3/22"
"Superbad",,"$16,700","11/1"
"The Invasion",,"$16,421","11/15"
"Partition",,"$15,351","5/17"
"Prête-moi ta main (I Do)",,"$15,088","3/15"
"Gridiron Gang",,"$14,913","1/11"
"Little Children",,"$14,644","4/5"
"Blades of Glory",,"$13,816","5/31"
"BRATZ",,"$13,728","12/20"
"Seraphim Falls",,"$13,525","10/25"
"The Good Shepherd",,"$12,765","5/17"
"Peaceful Warrior",,"$12,729","5/31"
"Miss Potter",,"$12,607","5/10"
"Meet the Robinsons",,"$12,445","4/5"
"An Inconvenient Truth",,"$12,397","2/1"
"Shark Bait (a.k.a. The Reef)",,"$12,394","4/26"
"Hors de prix (Priceless)",,"$12,365","11/22"
"El Ratón Pérez",,"$11,980","10/18"
"The Wind That Shakes the Barley",,"$11,355","2/8"
"Black Sheep (2007)",,"$11,284","8/23"
"Primeval",,"$10,943","3/29"
"Hot Fuzz",,"$10,776","7/26"
"Flags of Our Fathers",,"$10,187","3/22"
"TMNT",,"$9,838","6/28"
"Lucky You",,"$9,835","8/30"
"Feast",,"$9,776","2/22"
"Hannibal Rising",,"$9,297","5/3"
"Al Mashhad Al Akhir",,"$9,221","5/10"
"Grindhouse: Planet Terror",,"$9,112","8/23"
"Lady Chatterley",,"$8,903","8/16"
"Death at a Funeral",,"$8,744","11/29"
"Factory Girl",,"$8,398","8/9"
"Reno 911!: Miami",,"$8,348","6/28"
"Zodiac",,"$8,336","8/9"
"The Hitcher (2007)",,"$8,258","4/12"
"Breach",,"$8,067","4/26"
"Everyone's Hero",,"$7,890","4/5"
"Saw III",,"$7,811","6/7"
"Man of the Year",,"$7,498","5/17"
"Until Death",,"$7,305","6/14"
"Balls of Fury",,"$7,013","11/22"
"La Sconosciuta (The Unknown Woman)",,"$6,889","4/19"
"Flyboys",,"$6,488","9/6"
"Premonition",,"$6,401","9/27"
"The Ex",,"$5,599","10/4"
"Fast Food Nation",,"$5,554","4/26"
"Black Snake Moan",,"$5,368","9/27"
"Sicko",,"$5,343","8/9"
"Stranger Than Fiction",,"$4,962","9/13"
"Indigènes (Days of Glory)",,"$4,908","7/26"
"Code Name: The Cleaner",,"$4,778","11/22"
"Quand j'étais chanteur (The Singer)",,"$4,605","10/11"
"River Queen",,"$4,457","6/21"
"Once",,"$4,409","10/25"
"Big Nothing",,"$4,103","6/21"
"Catch a Fire",,"$3,922","2/22"
"Thr3e",,"$3,786","7/12"
"Away from Her",,"$3,731","11/8"
"The Butterfly Effect 2",,"$3,654","4/19"
"The Namesake",,"$3,631","3/15"
"Inland Empire",,"$3,561","3/15"
"You Kill Me",,"$2,312","10/25"
"Good Bye Bafana",,"$2,274","11/22"
"Severance",,"$2,077","5/17"
"Shabah",,"$1,970","11/15"
"Death of a President",,"$1,867","6/28"
"The Magic Roundabout (Doogal)",,"$1,699","10/4"
"Paris, je t'aime",,"$1,635","12/6"
"Je vous trouve très beau",,"$1,582","11/8"
"Kessat Al Hay Al Shaabi",,"$1,443","8/30"
"Undisputed II: Last Man Standing",,"$1,361","6/21"
"Khalass",,"$1,171","12/6"
"Aaesabet El Doctor Omar",,"$1,112","12/13"
"Dnevnoy dozor (Day Watch)",,"$1,071","9/20"
"Pars vite et reviens tard (Seeds of Death)",,"$841","9/27"
"A Guide to Recognizing Your Saints",,"$444","7/12"
"Bon Cop, Bad Cop",,"$202","7/12"
