" Movie Title",," Gross"," Release"
"2 Days in Paris",,"$19,820","5/8"
"Nim's Island",,"$19,282","6/19"
"Rescue Dawn",,"$19,195","8/21"
"Rendition",,"$18,113","1/31"
"Journey to the Center of the Earth",,"$18,050","11/20"
"The Night Listener",,"$17,791","9/4"
"Tabbakh El Rayes",,"$17,458","8/7"
"St. Trinian's",,"$17,249","3/20"
"The Visitor",,"$16,911","11/27"
"In the Name of the King: A Dungeon Siege Tale",,"$16,549","4/3"
"In the Valley of Elah",,"$15,817","1/10"
"The Mist",,"$15,641","3/13"
"Hellboy II: The Golden Army",,"$15,352","10/23"
"The Spiderwick Chronicles",,"$15,212","3/20"
"Mad Money",,"$14,702","5/29"
"Space Chimps",,"$14,636","8/21"
"Je veux voir",,"$14,635","10/30"
"The Invisible",,"$14,218","2/14"
"Dan in Real Life",,"$14,094","2/7"
"Married Life",,"$13,704","7/3"
"The Nanny Diaries",,"$13,585","1/3"
"Doomsday",,"$12,870","4/24"
"The Eye",,"$12,663","4/24"
"King of California",,"$12,128","9/11"
"City of Ember",,"$12,092","12/25"
"Juno",,"$11,672","4/17"
"Goya's Ghosts",,"$11,640","1/3"
"Things We Lost in the Fire",,"$11,582","4/17"
"Rogue",,"$11,244","5/22"
"Drillbit Taylor",,"$11,179","5/15"
"The Fall",,"$11,106","9/25"
"In the Land of Women",,"$11,043","6/12"
"Before the Devil Knows You're Dead",,"$11,014","8/7"
"Ne le dis à personne (Tell No One)",,"$10,994","7/10"
"Bella",,"$10,973","7/17"
"I'm Not There",,"$10,528","9/18"
"Silk",,"$10,359","3/27"
"El Cantante",,"$10,305","8/14"
"Semi-Pro",,"$10,303","9/4"
"Battle for Haditha",,"$9,846","9/18"
"Mr. Magorium's Wonder Emporium",,"$9,818","2/7"
"Un amour d'enfant",,"$9,216","6/5"
"The Ruins",,"$9,194","10/30"
"La Reine soleil",,"$8,935","3/27"
"The Hunting Party",,"$8,865","6/5"
"Sleeping Dogs Lie (a.k.a Stay)",,"$8,847","5/1"
"Sydney White",,"$8,231","5/1"
"The Flock",,"$8,156","11/6"
"All the Boys Love Mandy Lane",,"$8,101","6/19"
"Lovewrecked",,"$8,032","2/14"
"Leatherheads",,"$7,948","6/5"
"Reservation Road",,"$7,802","5/8"
"Chasseurs de dragons (Dragon Hunters)",,"$7,726","10/2"
"Becoming Jane",,"$7,702","3/6"
"Garfield's Fun Fest",,"$7,552","12/25"
"Enfin veuve",,"$7,362","9/18"
"Funny Games",,"$7,033","7/31"
"Tyler Perry's Why Did I Get Married",,"$7,011","10/23"
"The Life Before Her Eyes",,"$6,822","11/27"
"The Ferryman",,"$6,789","11/6"
"Chrysalis",,"$6,338","9/11"
"W Delta Z (a.k.a. Waz)",,"$6,160","9/18"
"The Good Night",,"$5,979","7/10"
"Miss Pettigrew Lives for a Day",,"$5,636","6/5"
"Speed Racer",,"$5,611","5/22"
"The Contract",,"$5,425","3/20"
"Henry Poole Is Here",,"$5,299","10/9"
"Le Concile de Pierre",,"$5,239","7/17"
"Karkar - Mohammed Saad",,"$5,120","3/20"
"Zavet (Promise Me This)",,"$5,101","11/6"
"Boot Camp",,"$4,900","4/10"
"Death Sentence",,"$4,895","3/27"
"Happily N'Ever After",,"$4,868","3/6"
"Khareg Aan El Kanoun",,"$4,808","5/29"
"Star Wars: The Clone Wars",,"$4,722","10/30"
"Redacted",,"$4,599","9/4"
"Strange Wilderness",,"$4,377","7/3"
"Sleepwalking",,"$4,339","7/17"
"D-War (Dragon Wars)",,"$4,245","12/18"
"Highlander: The Source",,"$4,082","9/11"
"Andaleeb AlDokki",,"$3,913","2/7"
"Gomez Vs Tavarès",,"$3,797","9/11"
"Georgia Rule",,"$3,337","1/17"
"Hallam Foe",,"$3,023","4/24"
"Mr. Woodcock",,"$2,864","5/22"
"The Ugly Duckling and Me!",,"$2,815","4/17"
"How She Move",,"$2,059","6/12"
"Masjoun Transit",,"$2,042","11/20"
"Saw IV",,"$1,697","5/29"
"Big City",,"$1,486","4/10"
"The Last Mimzy",,"$1,446","1/17"
"Martian Child",,"$1,446","4/10"
