" Movie Title",," Gross"," Release"
"American Gangster",,"$151,381","1/23"
"The Other Boleyn Girl",,"$151,105","4/9"
"The House Bunny",,"$146,886","10/29"
"Buried Alive",,"$146,399","10/8"
"Semi-Pro",,"$144,262","4/2"
"Saw IV",,"$140,112","1/30"
"Over Her Dead Body",,"$132,339","3/22"
"Solstice",,"$129,933","3/22"
"Good Luck Chuck",,"$121,603","2/6"
"Tau ming chong (The Warlords)",,"$121,100","7/9"
"Loving You",,"$120,807","8/20"
"The Bucket List",,"$120,614","2/6"
"Untraceable",,"$119,676","2/20"
"The Bank Job",,"$117,779","7/23"
"Harold and Kumar Escape from Guantanamo Bay",,"$115,133","5/14"
"88 Minutes",,"$112,940","4/16"
"Mega Snake",,"$112,742","5/14"
"The Mutant Chronicles",,"$109,006","10/1"
"Make It Happen",,"$108,174","10/1"
"Living Hell",,"$107,222","10/22"
"Rogue",,"$106,209","8/13"
"P.S. I Love You",,"$98,202","1/23"
"The Flock",,"$95,643","2/27"
"Igor",,"$92,617","10/8"
"The Hottie & the Nottie",,"$88,068","6/25"
"Pride & Glory",,"$86,977","12/3"
"My Sassy Girl",,"$85,553","8/7"
"Burn After Reading",,"$83,166","11/19"
"Juno",,"$82,296","2/13"
"The Sisterhood of the Traveling Pants 2",,"$80,810","9/24"
"My Best Friend's Girl",,"$76,014","9/24"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour",,"$74,922","4/30"
"Perfect Creature",,"$73,480","5/14"
"Dan in Real Life",,"$70,570","2/27"
"Atonement",,"$69,578","3/12"
"Pathology",,"$66,146","4/23"
"Ate (Older Sister)",,"$61,273","3/5"
"Never Back Down",,"$59,877","4/23"
"The Air I Breathe",,"$57,748","4/2"
"Torotot (2008)",,"$56,609","8/20"
"Asylum",,"$54,235","4/9"
"Sex Drive",,"$50,901","11/19"
"The Kite Runner",,"$50,894","2/27"
"I Could Never Be Your Woman",,"$49,597","1/16"
"Sydney White",,"$47,079","1/8"
"Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon)",,"$46,996","10/1"
"Deception (2008)",,"$46,321","5/7"
"3:10 to Yuma (2007)",,"$43,206","2/27"
"Altered",,"$42,026","6/18"
"The Assassination of Jesse James by the Coward Robert Ford",,"$41,240","2/20"
"Smother",,"$36,622","8/27"
"Alone (2007)",,"$32,507","7/2"
"No Country for Old Men",,"$29,552","4/9"
"Sleuth (2007)",,"$27,127","3/5"
"P2",,"$25,662","2/20"
"Kuntilanak 2",,"$24,331","10/22"
"Congkak",,"$23,449","9/3"
"Across the Universe",,"$21,098","3/5"
"Appaloosa",,"$17,768","10/15"
"Blonde Ambition",,"$16,538","2/20"
"Step Brothers",,"$16,183","9/17"
"The Women (2008)",,"$15,949","11/12"
"Strange Wilderness",,"$15,256","4/23"
"Pineapple Express",,"$13,069","10/15"
"Lakeview Terrace",,"$10,501","10/29"
"The Darjeeling Limited",,"$10,086","2/6"
"Half Blood Samurai",,"$9,869","3/5"
"RockNRolla",,"$9,332","12/3"
"There Will Be Blood",,"$8,331","2/13"
"The Savages",,"$8,280","4/23"
"Walk Hard: The Dewey Cox Story",,"$6,355","3/26"
"Grace Is Gone",,"$758","8/6"
